NAME,ROUTEID,FROMMEASURE,TOMEASURE,FROMDATE,TODATE,EVENTID,LOCERROR,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,SE_ANNO_CAD_DATA,OBJECTID,SHAPE,SHAPELEN
Primary Route,11001602,8848.2958,8957.8892,2019/01/01 00:00:00+00,,{55483007-36F4-4600-982C-8B8B22D1E956},NO ERROR,,,RH,2020/09/21 13:00:53+00,,152012,,0
Primary Route,11001602,1681.1435,1763.335,2019/01/01 00:00:00+00,,{D4FCD3D8-535E-4543-AB7E-B2A6AC7E3963},NO ERROR,,,RH,2020/09/21 13:00:53+00,,152013,,0
Primary Route,11001602,5278.9986,5392.0854,2019/01/01 00:00:00+00,,{2C612586-2E4A-4B95-A893-23DC233AA16E},NO ERROR,,,RH,2020/09/21 13:00:53+00,,152014,,0
Primary Route,11001602,7666.7787,7698.3369,2019/01/01 00:00:00+00,,{A5105A31-2C37-4A2F-AD96-63F3EEB8F21A},NO ERROR,,,RH,2020/09/21 13:00:53+00,,152015,,0
Primary Route,11001602,2295.2694,2361.9317,2019/01/01 00:00:00+00,,{80EBAA29-DBF2-431D-A6B4-2A8B32BE840F},NO ERROR,,,RH,2020/09/21 13:00:53+00,,152016,,0
Primary Route,11001602,6512.7723,6530.1185,2019/01/01 00:00:00+00,,{E6EFE0D5-BE18-4D53-A7B8-6920C5C97006},NO ERROR,,,RH,2020/09/21 13:00:53+00,,152017,,0
Primary Route,11001602,3414.9789,3430.6899,2019/01/01 00:00:00+00,,{8DCD9335-D8BE-408F-B34B-90EAB8C5D797},NO ERROR,,,RH,2020/09/21 13:00:53+00,,152018,,0
Primary Route,11001602,10100.0969,10277.8444,2019/01/01 00:00:00+00,,{324CDCED-98D2-45EF-97F1-1DA8E5B2C4ED},NO ERROR,,,RH,2020/09/21 13:00:53+00,,152019,,0
Primary Route,11001602,9065.235,9169.0031,2019/01/01 00:00:00+00,,{4BC1A4B0-93D1-442F-923B-6A357625EDB7},NO ERROR,,,RH,2020/09/21 13:00:53+00,,152020,,0
Primary Route,11001602,9826.5663,9899.5123,2019/01/01 00:00:00+00,,{3A2F2D18-51DE-446B-8917-B58D1C4551CD},NO ERROR,,,RH,2020/09/21 13:00:53+00,,152021,,0
Primary Route,11001602,6713.709,6788.1605,2019/01/01 00:00:00+00,,{ACCBD213-61F3-4D5F-B762-89E52246CE63},NO ERROR,,,RH,2020/09/21 13:00:53+00,,152022,,0
Primary Route,11001602,56.9617,183.8618,2019/01/01 00:00:00+00,,{3CF8A3DD-620B-4D4C-AC05-CA1F1AE1FE5D},NO ERROR,,,RH,2020/09/21 13:00:53+00,,152023,,0
Primary Route,11001602,9272.2406,9376.7559,2019/01/01 00:00:00+00,,{F18EA4E7-A653-451B-B1F5-CBE2C3D30F50},NO ERROR,,,RH,2020/09/21 13:00:53+00,,152024,,0
Primary Route,11001602,9625.6682,9734.6993,2019/01/01 00:00:00+00,,{765F4DBB-4E3C-4A5D-9661-21847B2845BF},NO ERROR,,,RH,2020/09/21 13:00:53+00,,152025,,0
Primary Route,11001602,1000.0005,1104.9776,2019/01/01 00:00:00+00,,{CE07F1EA-E06E-474F-B883-499827C37E19},NO ERROR,,,RH,2020/09/21 13:00:53+00,,152026,,0
Primary Route,11001602,3856.7719,3916.3222,2019/01/01 00:00:00+00,,{FA0AA824-7F86-4E2F-95EA-1CD33BCB41FC},NO ERROR,,,RH,2020/09/21 13:00:53+00,,152027,,0
Primary Route,11001602,3272.3708,3414.9789,2019/01/01 00:00:00+00,,{400EBBD4-3323-43FA-AD27-EAECAEEA3D94},NO ERROR,,,RH,2020/09/21 13:00:53+00,,152028,,0
