NAME,ROUTEID,FROMMEASURE,TOMEASURE,FROMDATE,TODATE,EVENTID,LOCERROR,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,SE_ANNO_CAD_DATA,OBJECTID,SHAPE,SHAPELEN,TRUCK_BREAK_OFF,LABEL
,0.7272727272727273,0.0,0.05910372314571789,0.6959478605837344,0.0,{A6E32190-FCFD-11EA-B1B4-DF2F529D356E},NO ERROR,lmacneil,2020/09/22 18:01:34+00,lmacneil,0.0010898557444001256,,154074,,0,0.0,0
Primary Route,0.03246753246753247,0.01780675294346599,0.030523962282492465,0.5174270331538677,0.0,{40B81D54-529D-4658-8C3D-ACEF34C29A27},NO ERROR,,,RH,4.1738935863122606e-08,,152036,,0,1.0,1
Primary Route,0.1168831168831169,0.35389705166877494,0.3586079517838048,0.5174270331538677,0.0,{F5182389-1E25-4FF3-9996-92AC64CBEFEF},NO ERROR,,,RH,0.91885014161603,,152235,,0,0.0,1
Primary Route,0.1168831168831169,0.07696798676656612,0.08690580344123651,0.5174270331538677,0.0,{AC7B6C43-CD40-47AF-8F25-99036A802F63},NO ERROR,,,RH,0.91885014161603,,152240,,0,0.0,0
Primary Route,0.09090909090909091,0.08270896175926827,0.10313988529211626,0.5174270331538677,0.0,{CFA0ABE1-9E6B-45B0-98BC-7E97BB08235A},NO ERROR,,,RH,5.217366805254642e-08,,152298,,0,1.0,0
Primary Route,0.7857142857142858,0.5070545879147611,0.5102556624866336,0.5174270331538677,0.0,{2571608B-D861-49EA-9C6C-2D553AB8E9FC},NO ERROR,,,RH,5.008672125939029e-07,,153924,,0,1.0,0
Primary Route,0.7727272727272728,0.544516882358665,0.5449596578205502,0.5174270331538677,0.0,{9A3B97D8-6C15-452B-A365-9220997E588E},NO ERROR,,,RH,4.799977446623416e-07,,153857,,0,0.0,1
Primary Route,0.09740259740259741,0.48535564853556484,0.4983960338291047,0.5174270331538677,0.0,{84020159-D640-4194-A869-F94609018B45},NO ERROR,,,RH,6.260840379468391e-08,,152343,,0,1.0,1
Primary Route,0.045454545454545456,0.18303006714021602,0.18946242830757265,0.5174270331538677,0.0,{3DB5EA54-FCBC-44EA-871A-E0862E0CF0AE},NO ERROR,,,RH,5.217366805254642e-08,,152046,,0,1.0,0
Primary Route,0.7467532467532468,0.27955629074632676,0.2848255079226208,0.5174270331538677,0.0,{11480907-D482-4ACB-956A-2BFEBC4F38D0},NO ERROR,,,RH,4.6956301247291776e-07,,153731,,0,1.0,0
